,button,genuine,signature,time,x,y
110,1,1.0,1.0,31079743,6385,4999
111,1,1.0,1.0,31079753,6636,5041
112,1,1.0,1.0,31079763,6880,5087
113,1,1.0,1.0,31079773,7036,5137
114,0,1.0,1.0,31079863,6906,5703
115,1,1.0,1.0,31079873,6797,5344
116,1,1.0,1.0,31079883,6755,5334
117,1,1.0,1.0,31079893,6712,5149
118,1,1.0,1.0,31079903,6669,4848
119,1,1.0,1.0,31079913,6625,4548
120,1,1.0,1.0,31079923,6600,4299
121,1,1.0,1.0,31079933,6587,4083
122,1,1.0,1.0,31079943,6575,3981
123,1,1.0,1.0,31079953,6569,3928
124,1,1.0,1.0,31079963,6557,3909
125,0,1.0,1.0,31080003,6434,4073
126,1,1.0,1.0,31080013,6286,4230
127,1,1.0,1.0,31080023,6220,4237
128,1,1.0,1.0,31080033,6161,4264
129,1,1.0,1.0,31080043,6155,4278
130,1,1.0,1.0,31080053,6214,4283
131,1,1.0,1.0,31080063,6315,4347
132,1,1.0,1.0,31080073,6522,4401
133,1,1.0,1.0,31080083,6731,4448
134,1,1.0,1.0,31080093,6895,4390
135,1,1.0,1.0,31080103,7027,4277
136,1,1.0,1.0,31080113,7080,4127
137,1,1.0,1.0,31080123,7045,3948
138,1,1.0,1.0,31080133,6952,3751
139,1,1.0,1.0,31080143,6801,3541
140,1,1.0,1.0,31080153,6653,3379
141,1,1.0,1.0,31080163,6568,3246
142,1,1.0,1.0,31080173,6524,3132
143,1,1.0,1.0,31080183,6552,3093
144,1,1.0,1.0,31080193,6691,3122
145,1,1.0,1.0,31080203,6903,3196
146,1,1.0,1.0,31080213,7154,3373
147,1,1.0,1.0,31080223,7407,3578
0,0,1.0,2.0,31099982,1004,5060
1,1,1.0,2.0,31099992,1123,5005
2,1,1.0,2.0,31100002,1172,5092
3,1,1.0,2.0,31100012,1300,5183
4,1,1.0,2.0,31100022,1498,5276
5,1,1.0,2.0,31100032,1743,5370
6,1,1.0,2.0,31100042,1994,5470
7,1,1.0,2.0,31100052,2249,5566
8,1,1.0,2.0,31100062,2417,5629
9,1,1.0,2.0,31100072,2525,5672
10,1,1.0,2.0,31100082,2571,5677
11,0,1.0,2.0,31100162,1974,5476
12,1,1.0,2.0,31100172,1935,5210
13,1,1.0,2.0,31100182,1918,5205
14,1,1.0,2.0,31100192,1881,5128
15,1,1.0,2.0,31100202,1916,5003
16,1,1.0,2.0,31100212,1984,4641
17,1,1.0,2.0,31100222,2074,4206
18,1,1.0,2.0,31100232,2181,3723
19,1,1.0,2.0,31100242,2239,3436
20,1,1.0,2.0,31100252,2263,3251
21,1,1.0,2.0,31100262,2243,3133
22,1,1.0,2.0,31100272,2171,3068
23,1,1.0,2.0,31100282,2065,3024
24,1,1.0,2.0,31100292,1904,2994
25,1,1.0,2.0,31100302,1728,3044
26,1,1.0,2.0,31100312,1542,3201
27,1,1.0,2.0,31100322,1364,3429
28,0,1.0,2.0,31100453,2841,4973
29,1,1.0,2.0,31100463,3402,4957
30,1,1.0,2.0,31100473,3560,5164
31,1,1.0,2.0,31100483,3746,5429
32,1,1.0,2.0,31100493,3951,5551
33,1,1.0,2.0,31100503,4210,5578
34,1,1.0,2.0,31100513,4366,5615
35,1,1.0,2.0,31100523,4453,5648
36,0,1.0,2.0,31100593,4224,5968
37,1,1.0,2.0,31100603,4178,5754
38,1,1.0,2.0,31100613,4125,5747
39,1,1.0,2.0,31100623,4050,5648
40,1,1.0,2.0,31100633,3938,5489
41,1,1.0,2.0,31100643,3802,5196
42,1,1.0,2.0,31100653,3631,4902
43,1,1.0,2.0,31100663,3462,4608
44,1,1.0,2.0,31100673,3339,4409
45,1,1.0,2.0,31100683,3246,4297
46,1,1.0,2.0,31100693,3222,4242
47,1,1.0,2.0,31100703,3233,4242
48,0,1.0,2.0,31100743,3472,4550
49,1,1.0,2.0,31100753,3661,4733
50,1,1.0,2.0,31100763,3661,4727
51,1,1.0,2.0,31100773,3661,4682
52,1,1.0,2.0,31100783,3652,4610
53,1,1.0,2.0,31100793,3635,4428
54,1,1.0,2.0,31100803,3616,4153
55,1,1.0,2.0,31100813,3597,3815
56,1,1.0,2.0,31100823,3579,3510
57,1,1.0,2.0,31100833,3560,3282
58,1,1.0,2.0,31100843,3547,3106
59,1,1.0,2.0,31100853,3547,3017
60,1,1.0,2.0,31100863,3559,2981
61,0,1.0,2.0,31100913,3707,4074
62,1,1.0,2.0,31100923,3947,4224
63,1,1.0,2.0,31100933,3992,4459
64,1,1.0,2.0,31100943,3976,4539
65,1,1.0,2.0,31100953,3994,4517
66,1,1.0,2.0,31100963,4046,4490
67,1,1.0,2.0,31100973,4120,4444
68,1,1.0,2.0,31100983,4195,4385
69,1,1.0,2.0,31100993,4231,4294
70,1,1.0,2.0,31101003,4241,4154
71,1,1.0,2.0,31101013,4241,3982
72,1,1.0,2.0,31101023,4283,3829
73,1,1.0,2.0,31101033,4349,3707
74,1,1.0,2.0,31101043,4434,3607
75,1,1.0,2.0,31101053,4520,3527
76,1,1.0,2.0,31101063,4583,3447
77,1,1.0,2.0,31101073,4629,3368
78,1,1.0,2.0,31101083,4629,3263
79,1,1.0,2.0,31101093,4569,3155
80,1,1.0,2.0,31101103,4468,3044
81,1,1.0,2.0,31101113,4375,2996
82,1,1.0,2.0,31101123,4301,3005
83,1,1.0,2.0,31101133,4240,3052
84,1,1.0,2.0,31101143,4189,3167
85,1,1.0,2.0,31101153,4184,3341
86,1,1.0,2.0,31101163,4209,3554
87,1,1.0,2.0,31101173,4243,3691
88,1,1.0,2.0,31101183,4282,3783
89,1,1.0,2.0,31101193,4366,3844
90,1,1.0,2.0,31101203,4478,3907
91,0,1.0,2.0,31101384,6484,5220
92,1,1.0,2.0,31101394,6484,5220
93,1,1.0,2.0,31101404,6426,5278
94,1,1.0,2.0,31101414,6365,5249
95,1,1.0,2.0,31101424,6310,5160
96,1,1.0,2.0,31101434,6239,5030
97,1,1.0,2.0,31101444,6157,4822
98,1,1.0,2.0,31101454,6106,4612
99,1,1.0,2.0,31101464,6106,4423
100,1,1.0,2.0,31101474,6132,4249
101,1,1.0,2.0,31101484,6231,4177
102,1,1.0,2.0,31101494,6389,4169
103,1,1.0,2.0,31101504,6586,4205
104,1,1.0,2.0,31101514,6784,4281
105,1,1.0,2.0,31101524,6974,4372
106,1,1.0,2.0,31101534,7103,4473
107,0,1.0,2.0,31101604,7153,5101
108,1,1.0,2.0,31101614,7063,4920
109,1,1.0,2.0,31101624,6991,4849
110,1,1.0,2.0,31101634,6906,4658
111,1,1.0,2.0,31101644,6813,4375
112,1,1.0,2.0,31101654,6745,4032
113,1,1.0,2.0,31101664,6709,3724
114,1,1.0,2.0,31101674,6693,3545
115,1,1.0,2.0,31101684,6698,3452
116,0,1.0,2.0,31101755,6309,3654
117,1,1.0,2.0,31101765,6256,3531
118,1,1.0,2.0,31101775,6223,3557
119,1,1.0,2.0,31101785,6254,3670
120,1,1.0,2.0,31101795,6327,3684
121,1,1.0,2.0,31101805,6537,3704
122,1,1.0,2.0,31101815,6750,3728
123,1,1.0,2.0,31101825,6964,3734
124,1,1.0,2.0,31101835,7050,3696
125,1,1.0,2.0,31101845,7074,3629
126,1,1.0,2.0,31101855,7056,3511
127,1,1.0,2.0,31101865,6970,3351
128,1,1.0,2.0,31101875,6881,3162
129,1,1.0,2.0,31101885,6790,3060
130,1,1.0,2.0,31101895,6760,3001
131,1,1.0,2.0,31101905,6760,2972
132,1,1.0,2.0,31101915,6791,2947
133,1,1.0,2.0,31101925,6884,2952
134,1,1.0,2.0,31101935,7015,2977
135,1,1.0,2.0,31101945,7171,3056
136,1,1.0,2.0,31101955,7396,3166
0,0,1.0,3.0,31103858,1300,4539
1,1,1.0,3.0,31103868,1363,4501
2,1,1.0,3.0,31103878,1462,4756
3,1,1.0,3.0,31103888,1609,4953
4,1,1.0,3.0,31103898,1873,5111
5,1,1.0,3.0,31103908,2153,5205
6,1,1.0,3.0,31103918,2444,5273
7,1,1.0,3.0,31103928,2647,5324
8,1,1.0,3.0,31103938,2765,5311
9,1,1.0,3.0,31103948,2826,5277
10,0,1.0,3.0,31104008,2401,5080
11,1,1.0,3.0,31104018,2314,4952
12,1,1.0,3.0,31104028,2265,4935
13,1,1.0,3.0,31104038,2236,4830
14,1,1.0,3.0,31104048,2222,4666
15,1,1.0,3.0,31104058,2244,4340
16,1,1.0,3.0,31104068,2295,3939
17,1,1.0,3.0,31104078,2365,3487
18,1,1.0,3.0,31104088,2427,3170
19,1,1.0,3.0,31104098,2447,2990
20,1,1.0,3.0,31104108,2440,2901
21,1,1.0,3.0,31104118,2376,2841
22,1,1.0,3.0,31104128,2232,2797
23,1,1.0,3.0,31104138,2035,2764
24,1,1.0,3.0,31104148,1790,2791
25,1,1.0,3.0,31104158,1551,2899
26,1,1.0,3.0,31104168,1315,3060
27,1,1.0,3.0,31104178,1163,3285
28,0,1.0,3.0,31104278,2902,4748
29,1,1.0,3.0,31104288,3354,4811
30,1,1.0,3.0,31104298,3562,4954
31,1,1.0,3.0,31104308,3811,5075
32,1,1.0,3.0,31104318,4115,5176
33,1,1.0,3.0,31104328,4442,5263
34,1,1.0,3.0,31104338,4730,5337
35,1,1.0,3.0,31104348,4876,5383
36,0,1.0,3.0,31104398,4651,5532
37,1,1.0,3.0,31104408,4534,5631
38,1,1.0,3.0,31104418,4519,5657
39,1,1.0,3.0,31104428,4489,5665
40,1,1.0,3.0,31104438,4434,5622
41,1,1.0,3.0,31104448,4361,5544
42,1,1.0,3.0,31104458,4223,5328
43,1,1.0,3.0,31104468,4054,5017
44,1,1.0,3.0,31104478,3864,4643
45,1,1.0,3.0,31104488,3681,4272
46,1,1.0,3.0,31104498,3587,4036
47,1,1.0,3.0,31104508,3553,3890
48,0,1.0,3.0,31104579,4042,4510
49,1,1.0,3.0,31104589,4186,4425
50,1,1.0,3.0,31104599,4169,4328
51,1,1.0,3.0,31104609,4085,4196
52,1,1.0,3.0,31104619,4044,3899
53,1,1.0,3.0,31104629,4018,3493
54,1,1.0,3.0,31104639,4001,3144
55,1,1.0,3.0,31104649,3967,2872
56,1,1.0,3.0,31104659,3932,2652
57,1,1.0,3.0,31104669,3897,2568
58,1,1.0,3.0,31104679,3888,2545
59,1,1.0,3.0,31104689,3900,2564
60,0,1.0,3.0,31104729,4132,3895
61,1,1.0,3.0,31104739,4393,4290
62,1,1.0,3.0,31104749,4492,4492
63,1,1.0,3.0,31104759,4564,4586
64,1,1.0,3.0,31104769,4621,4607
65,1,1.0,3.0,31104779,4667,4574
66,1,1.0,3.0,31104789,4719,4512
67,1,1.0,3.0,31104799,4737,4431
68,1,1.0,3.0,31104809,4732,4297
69,1,1.0,3.0,31104819,4703,4134
70,1,1.0,3.0,31104829,4703,3953
71,1,1.0,3.0,31104839,4711,3745
72,1,1.0,3.0,31104849,4778,3570
73,1,1.0,3.0,31104859,4851,3418
74,1,1.0,3.0,31104869,4930,3324
75,1,1.0,3.0,31104879,5012,3260
76,1,1.0,3.0,31104889,5043,3217
77,1,1.0,3.0,31104899,5019,3163
78,1,1.0,3.0,31104909,4959,3097
79,1,1.0,3.0,31104919,4855,3023
80,1,1.0,3.0,31104929,4754,3004
81,1,1.0,3.0,31104939,4654,3049
82,1,1.0,3.0,31104949,4583,3136
83,1,1.0,3.0,31104959,4583,3280
84,1,1.0,3.0,31104969,4626,3439
85,1,1.0,3.0,31104979,4750,3609
86,1,1.0,3.0,31104989,4875,3748
87,1,1.0,3.0,31104999,5000,3861
88,0,1.0,3.0,31105200,6856,4969
89,1,1.0,3.0,31105210,6776,5027
90,1,1.0,3.0,31105220,6716,5084
91,1,1.0,3.0,31105230,6658,5143
92,1,1.0,3.0,31105240,6600,5008
93,1,1.0,3.0,31105250,6569,4807
94,1,1.0,3.0,31105260,6553,4562
95,1,1.0,3.0,31105270,6548,4350
96,1,1.0,3.0,31105280,6632,4150
97,1,1.0,3.0,31105290,6793,4048
98,1,1.0,3.0,31105300,7005,4007
99,1,1.0,3.0,31105310,7214,4045
100,1,1.0,3.0,31105320,7423,4147
101,1,1.0,3.0,31105330,7572,4291
102,0,1.0,3.0,31105380,7632,4970
103,1,1.0,3.0,31105390,7565,4883
104,1,1.0,3.0,31105400,7520,4772
105,1,1.0,3.0,31105410,7446,4521
106,1,1.0,3.0,31105420,7371,4176
107,1,1.0,3.0,31105430,7295,3740
108,1,1.0,3.0,31105440,7232,3383
109,1,1.0,3.0,31105450,7191,3080
110,1,1.0,3.0,31105460,7164,2954
111,0,1.0,3.0,31105520,6753,3434
112,1,1.0,3.0,31105530,6851,3452
113,1,1.0,3.0,31105540,6901,3504
114,1,1.0,3.0,31105550,7036,3513
115,1,1.0,3.0,31105560,7189,3493
116,1,1.0,3.0,31105570,7354,3463
117,1,1.0,3.0,31105580,7432,3382
118,1,1.0,3.0,31105590,7432,3267
119,1,1.0,3.0,31105600,7370,3083
120,1,1.0,3.0,31105610,7274,2888
121,1,1.0,3.0,31105620,7182,2687
122,1,1.0,3.0,31105630,7150,2596
123,1,1.0,3.0,31105640,7156,2551
124,1,1.0,3.0,31105650,7215,2538
125,1,1.0,3.0,31105660,7373,2564
126,1,1.0,3.0,31105670,7597,2653
127,1,1.0,3.0,31105680,7854,2784
0,0,1.0,4.0,31106822,1736,4236
1,1,1.0,4.0,31106832,1894,4258
2,1,1.0,4.0,31106842,1957,4417
3,1,1.0,4.0,31106852,2151,4599
4,1,1.0,4.0,31106862,2458,4746
5,1,1.0,4.0,31106872,2839,4871
6,1,1.0,4.0,31106882,3186,4943
7,1,1.0,4.0,31106892,3396,5011
8,0,1.0,4.0,31106982,3014,4866
9,1,1.0,4.0,31106992,3023,4585
10,1,1.0,4.0,31107002,2979,4537
11,1,1.0,4.0,31107012,2973,4308
12,1,1.0,4.0,31107022,2993,3958
13,1,1.0,4.0,31107032,3024,3518
14,1,1.0,4.0,31107042,3057,3138
15,1,1.0,4.0,31107052,3067,2799
16,1,1.0,4.0,31107062,3059,2619
17,1,1.0,4.0,31107072,2995,2514
18,1,1.0,4.0,31107082,2850,2458
19,1,1.0,4.0,31107092,2650,2401
20,1,1.0,4.0,31107102,2397,2414
21,1,1.0,4.0,31107112,2146,2473
22,1,1.0,4.0,31107122,1902,2632
23,0,1.0,4.0,31107293,4879,4726
24,1,1.0,4.0,31107303,5136,4669
25,1,1.0,4.0,31107313,5196,4786
26,1,1.0,4.0,31107323,5303,4931
27,1,1.0,4.0,31107333,5491,5020
28,1,1.0,4.0,31107343,5734,5084
29,1,1.0,4.0,31107353,5924,5131
30,1,1.0,4.0,31107363,6035,5143
31,0,1.0,4.0,31107433,5976,5479
32,1,1.0,4.0,31107443,5866,5322
33,1,1.0,4.0,31107453,5770,5298
34,1,1.0,4.0,31107463,5653,5173
35,1,1.0,4.0,31107473,5523,4980
36,1,1.0,4.0,31107483,5378,4649
37,1,1.0,4.0,31107493,5224,4299
38,1,1.0,4.0,31107503,5065,3937
39,1,1.0,4.0,31107513,4939,3620
40,1,1.0,4.0,31107523,4835,3418
41,1,1.0,4.0,31107533,4745,3294
42,0,1.0,4.0,31107623,5122,4022
43,1,1.0,4.0,31107633,5348,3989
44,1,1.0,4.0,31107643,5379,3903
45,1,1.0,4.0,31107653,5379,3746
46,1,1.0,4.0,31107663,5402,3415
47,1,1.0,4.0,31107673,5402,3036
48,1,1.0,4.0,31107683,5393,2624
49,1,1.0,4.0,31107693,5373,2378
50,1,1.0,4.0,31107703,5355,2229
51,1,1.0,4.0,31107713,5338,2144
52,1,1.0,4.0,31107723,5343,2144
53,0,1.0,4.0,31107783,5329,3381
54,1,1.0,4.0,31107793,5591,3806
55,1,1.0,4.0,31107803,5760,3978
56,1,1.0,4.0,31107813,5915,4182
57,1,1.0,4.0,31107823,6028,4257
58,1,1.0,4.0,31107833,6113,4246
59,1,1.0,4.0,31107843,6180,4191
60,1,1.0,4.0,31107853,6219,4105
61,1,1.0,4.0,31107863,6238,3998
62,1,1.0,4.0,31107873,6247,3837
63,1,1.0,4.0,31107883,6264,3671
64,1,1.0,4.0,31107893,6345,3528
65,1,1.0,4.0,31107903,6465,3402
66,1,1.0,4.0,31107913,6595,3257
67,1,1.0,4.0,31107923,6681,3136
68,1,1.0,4.0,31107933,6738,3030
69,1,1.0,4.0,31107943,6724,2910
70,1,1.0,4.0,31107953,6651,2770
71,1,1.0,4.0,31107963,6538,2618
72,1,1.0,4.0,31107973,6442,2542
73,1,1.0,4.0,31107983,6369,2529
74,1,1.0,4.0,31107993,6310,2557
75,1,1.0,4.0,31108003,6239,2648
76,1,1.0,4.0,31108013,6202,2796
77,1,1.0,4.0,31108023,6188,2981
78,1,1.0,4.0,31108033,6208,3130
79,1,1.0,4.0,31108043,6280,3288
80,1,1.0,4.0,31108053,6387,3453
81,1,1.0,4.0,31108063,6540,3598
82,0,1.0,4.0,31108194,8233,4939
83,1,1.0,4.0,31108204,8265,4958
84,1,1.0,4.0,31108214,8180,5008
85,1,1.0,4.0,31108224,8126,4872
86,1,1.0,4.0,31108234,8126,4613
87,1,1.0,4.0,31108244,8154,4299
88,1,1.0,4.0,31108254,8326,4073
89,1,1.0,4.0,31108264,8503,3905
90,1,1.0,4.0,31108274,8731,3870
91,1,1.0,4.0,31108284,8991,3898
92,1,1.0,4.0,31108294,9164,3968
93,1,1.0,4.0,31108304,9283,4079
94,1,1.0,4.0,31108314,9366,4210
95,0,1.0,4.0,31108374,9246,4863
96,1,1.0,4.0,31108384,9101,4557
97,1,1.0,4.0,31108394,9006,4419
98,1,1.0,4.0,31108404,8912,4135
99,1,1.0,4.0,31108414,8808,3754
100,1,1.0,4.0,31108424,8736,3404
101,1,1.0,4.0,31108434,8684,3108
102,1,1.0,4.0,31108444,8662,2848
103,1,1.0,4.0,31108454,8643,2696
104,1,1.0,4.0,31108464,8632,2645
105,0,1.0,4.0,31108524,8297,3111
106,1,1.0,4.0,31108534,8339,3069
107,1,1.0,4.0,31108544,8396,3192
108,1,1.0,4.0,31108554,8511,3273
109,1,1.0,4.0,31108564,8681,3325
110,1,1.0,4.0,31108574,8888,3319
111,1,1.0,4.0,31108584,9047,3263
112,1,1.0,4.0,31108594,9105,3173
113,1,1.0,4.0,31108604,9095,3043
114,1,1.0,4.0,31108614,8990,2839
115,1,1.0,4.0,31108624,8842,2587
116,1,1.0,4.0,31108634,8666,2387
117,1,1.0,4.0,31108644,8570,2237
118,1,1.0,4.0,31108654,8552,2121
119,1,1.0,4.0,31108664,8585,2061
120,1,1.0,4.0,31108674,8712,2052
121,1,1.0,4.0,31108684,8926,2077
122,1,1.0,4.0,31108694,9198,2193
123,1,1.0,4.0,31108704,9520,2360
0,0,1.0,5.0,31109766,1544,4377
1,1,1.0,5.0,31109776,1734,4417
2,1,1.0,5.0,31109786,1934,4688
3,1,1.0,5.0,31109796,2204,5076
4,1,1.0,5.0,31109806,2467,5188
5,1,1.0,5.0,31109816,2795,5252
6,1,1.0,5.0,31109826,3165,5283
7,0,1.0,5.0,31109906,2962,5311
8,1,1.0,5.0,31109916,2872,5013
9,1,1.0,5.0,31109926,2789,4907
10,1,1.0,5.0,31109936,2764,4657
11,1,1.0,5.0,31109946,2778,4310
12,1,1.0,5.0,31109956,2835,3732
13,1,1.0,5.0,31109966,2897,3169
14,1,1.0,5.0,31109976,2963,2616
15,1,1.0,5.0,31109986,2983,2344
16,1,1.0,5.0,31109996,2950,2178
17,1,1.0,5.0,31110006,2881,2083
18,1,1.0,5.0,31110016,2743,1999
19,1,1.0,5.0,31110026,2557,1963
20,1,1.0,5.0,31110036,2339,1963
21,1,1.0,5.0,31110046,2095,2034
22,0,1.0,5.0,31110157,3232,4454
23,1,1.0,5.0,31110167,4100,4454
24,1,1.0,5.0,31110177,4493,4650
25,1,1.0,5.0,31110187,4838,4988
26,1,1.0,5.0,31110197,5187,5128
27,1,1.0,5.0,31110207,5475,5216
28,1,1.0,5.0,31110217,5723,5270
29,1,1.0,5.0,31110227,5841,5303
30,1,1.0,5.0,31110237,5886,5321
31,0,1.0,5.0,31110297,5552,5550
32,1,1.0,5.0,31110307,5336,5282
33,1,1.0,5.0,31110317,5183,5331
34,1,1.0,5.0,31110327,5046,5211
35,1,1.0,5.0,31110337,4884,4979
36,1,1.0,5.0,31110347,4706,4633
37,1,1.0,5.0,31110357,4485,4251
38,1,1.0,5.0,31110367,4299,3846
39,1,1.0,5.0,31110377,4136,3561
40,1,1.0,5.0,31110387,4070,3409
41,1,1.0,5.0,31110397,4084,3347
42,0,1.0,5.0,31110477,4844,4164
43,1,1.0,5.0,31110487,4929,3852
44,1,1.0,5.0,31110497,4898,3865
45,1,1.0,5.0,31110507,4867,3669
46,1,1.0,5.0,31110517,4856,3334
47,1,1.0,5.0,31110527,4856,2975
48,1,1.0,5.0,31110537,4879,2722
49,1,1.0,5.0,31110547,4879,2539
50,1,1.0,5.0,31110557,4858,2424
51,1,1.0,5.0,31110567,4846,2374
52,1,1.0,5.0,31110577,4846,2367
53,0,1.0,5.0,31110647,5177,3792
54,1,1.0,5.0,31110657,5495,4039
55,1,1.0,5.0,31110667,5550,4171
56,1,1.0,5.0,31110677,5584,4164
57,1,1.0,5.0,31110687,5605,4081
58,1,1.0,5.0,31110697,5623,3947
59,1,1.0,5.0,31110707,5613,3775
60,1,1.0,5.0,31110717,5583,3609
61,1,1.0,5.0,31110727,5549,3448
62,1,1.0,5.0,31110737,5562,3287
63,1,1.0,5.0,31110747,5606,3145
64,1,1.0,5.0,31110757,5715,3017
65,1,1.0,5.0,31110767,5843,2906
66,1,1.0,5.0,31110777,5984,2801
67,1,1.0,5.0,31110787,6058,2699
68,1,1.0,5.0,31110797,6063,2598
69,1,1.0,5.0,31110807,6021,2491
70,1,1.0,5.0,31110817,5904,2372
71,1,1.0,5.0,31110827,5772,2304
72,1,1.0,5.0,31110837,5630,2271
73,1,1.0,5.0,31110847,5534,2322
74,1,1.0,5.0,31110857,5490,2419
75,1,1.0,5.0,31110867,5480,2546
76,1,1.0,5.0,31110877,5532,2717
77,1,1.0,5.0,31110887,5645,2930
78,1,1.0,5.0,31110897,5798,3170
79,0,1.0,5.0,31110988,7117,4997
80,1,1.0,5.0,31110998,7342,4822
81,1,1.0,5.0,31111008,7326,4749
82,1,1.0,5.0,31111018,7228,4724
83,1,1.0,5.0,31111028,7171,4522
84,1,1.0,5.0,31111038,7200,4311
85,1,1.0,5.0,31111048,7287,4095
86,1,1.0,5.0,31111058,7500,4000
87,1,1.0,5.0,31111068,7753,3986
88,1,1.0,5.0,31111078,8032,4025
89,1,1.0,5.0,31111088,8261,4124
90,1,1.0,5.0,31111098,8431,4257
91,1,1.0,5.0,31111108,8562,4413
92,0,1.0,5.0,31111158,8400,5204
93,1,1.0,5.0,31111168,8170,4892
94,1,1.0,5.0,31111178,8038,4687
95,1,1.0,5.0,31111188,7907,4381
96,1,1.0,5.0,31111198,7774,4009
97,1,1.0,5.0,31111208,7705,3578
